BLOCKGR GISJOIN Adopted Week
21110092.00: G21011100092 1 424
36290080.00: G3600290008001 1 99
48130097.00: G4801130009702 1 153
06375358.00: G0600370535801 1 424
54390102.00: G54003900102 1 165
36290072.00: G3600290007201 0 842
12270811.00: G12012700811 1 289
53330281.00: G53003300281 1 200
04131140.00: G04001301140 1 99
55959602.00: G55009509602 0 842
54019657.00: G54000109657 0 842
04131047.00: G04001301047 1 200
06373024.00: G06003703024 1 153
54390009.00: G54003900009 1 240
06014216.00: G06000104216 1 372
54390013.00: G54003900013 1 240
48130078.00: G4801130007804 1 99
06374310.00: G0600370431002 1 281
12330026.00: G1200330002602 1 325
54390007.00: G54003900007 1 165
54179650.00: G54001709650 0 842
25235202.00: G2500230520201 0 842
48130136.01: G4801130013611 1 424
06374067.00: G06003704067 1 529
54259501.00: G54002509501 0 842
06730059.00: G06007300059 1 165
25214044.00: G25002104044 1 99
25250914.00: G25002500914 1 473
06990008.00: G0600990000805 1 200
25250820.00: G25002500820 1 473
06816069.00: G06008106069 1 99
22510255.00: G22005100255 1 240
25277502.00: G25002707502 1 529
01030009.00: G01010300009 1 240
40430076.01: G4001430007612 1 4
29892182.00: G2901890218201 1 200
26635566.00: G26016305566 1 153
06590638.00: G0600590063806 1 99
48291604.00: G48002901604 1 424
23039517.00: G23000309517 0 842
54559515.00: G54005509515 0 842
54810110.00: G54008100110 1 464
04131137.00: G04001301137 1 424
55079602.00: G55000709602 0 842
54190201.00: G54001900201 0 842
53630004.00: G53006300004 1 247
06730060.00: G06007300060 1 165
54690004.00: G54006900004 1 424
06375303.00: G06003705303 1 633
13890224.00: G1300890022403 1 272
06375401.00: G0600370540101 1 424
54390008.00: G54003900008 1 240
55250032.00: G55002500032 1 2
55119508.00: G55011109508 0 842
54459566.00: G54004509566 0 842
25250903.00: G25002500903 1 473
47790608.00: G47017900608 1 464
55839911.00: G55008309911 1 685
01210109.00: G01012100109 1 341
12950163.00: G1200950016302 1 200
06070022.00: G06010700022 1 325
01730103.00: G0100730010302 1 372
06371974.00: G06003701974 1 4
06372162.00: G06003702162 1 153
10030152.00: G10000300152 0 842
06372088.00: G06003702088 1 99
54039712.00: G54000309712 1 529
54390108.00: G5400390010801 0 842
48913106.00: G4800910310602 0 842
26635068.00: G26016305068 1 240
51402120.00: G51074002120 1 325
22710024.00: G2200710002401 1 240
54190211.00: G54001900211 0 842
01730118.00: G0100730011802 1 247
22710030.00: G22007100030 1 301
54330307.00: G54003300307 0 842
06372033.00: G06003702033 1 153
06990039.00: G0600990003905 1 247
54110105.00: G54001100105 1 281
42212003.00: G42012102003 1 424
55790351.00: G55007900351 1 240
10030013.00: G10000300013 1 99
06730072.00: G06007300072 1 153
54559511.00: G54005509511 0 842
55791851.00: G55007901851 1 272
55314301.00: G55013104301 0 842
54559518.00: G54005509518 0 842
06375709.00: G0600370570902 1 372
37190058.00: G3701190005804 1 281
06855048.00: G0600850504803 1 99
06830024.00: G0600830002403 1 165
55314501.00: G5501310450101 0 842
53350802.00: G53003500802 1 581
06855045.09: G0600850504598 1 99
12150211.09: G1200150021198 0 842
25250812.00: G25002500812 1 2
19550305.00: G1901550030502 1 529
25250811.00: G25002500811 1 2
25251102.00: G25002501102 1 200
25251104.00: G2500250110402 1 200
25251010.00: G2500250101001 1 165
29470206.00: G2900470020603 1 99
54219679.09: G5400210967998 0 842
26810148.00: G2600810014802 1 153
22710001.00: G22007100001 1 301
54190206.00: G54001900206 1 464
22710037.00: G2200710003701 1 289
22710041.00: G22007100041 1 289
48030022.00: G4803030002201 1 325
22710006.00: G2200710000603 1 240
22710033.00: G2200710003307 1 240
22710006.00: G2200710000604 1 240
26251733.00: G26012501733 1 473
55791701.00: G55007901701 1 165
55579907.00: G55005709907 0 842
48790003.00: G48047900003 1 464
12270831.00: G12012700831 0 842
17579510.00: G17015709510 0 842
54559510.00: G54005509510 0 842
24054023.00: G2400050402301 1 424
25277320.00: G2500270732001 1 473
22010410.00: G22010100410 0 842
48913107.00: G48009103107 0 842
21999908.00: G21019909908 0 842
06855120.01: G0600850512015 1 153
40510001.00: G40005100001 1 464
41510077.00: G41005100077 1 200
39490053.00: G39004900053 1 529
26239506.00: G26002309506 1 529
21110020.00: G21011100020 1 633
53419712.00: G53004109712 0 842
54059585.00: G54000509585 0 842
04270001.00: G04002700001 1 581
27530268.01: G2700530026814 1 99
25277361.00: G25002707361 1 247
06376013.00: G0600370601302 1 372
06855010.00: G06008505010 0 842
55590003.00: G55005900003 1 325
04131162.00: G0400130116203 1 240
06952516.00: G06009502516 1 301
53530714.00: G5300530071403 1 153
06990003.00: G06009900003 1 581
06377026.00: G06003707026 1 372
26614028.00: G26016104028 1 2
27530252.00: G2700530025204 1 200
55790153.00: G55007900153 1 240
53479704.00: G53004709704 0 842
36810010.00: G36008100010 1 464
06374301.00: G0600370430101 1 281
55790074.00: G55007900074 1 99
54690021.00: G54006900021 0 842
54110005.00: G54001100005 1 325
25277092.00: G2500270709202 1 301
26635378.00: G26016305378 1 99
53330279.00: G53003300279 1 200
27359510.00: G27003509510 1 581
26158335.00: G26011508335 1 529
21170604.00: G21011700604 1 424
19530028.00: G19015300028 1 240
55790182.00: G55007900182 1 272
55790803.00: G55007900803 1 99
01310111.00: G01003100111 1 633
54990206.00: G54009900206 0 842
06871228.09: G0600870122895 1 165
06371971.00: G06003701971 1 153
06372034.00: G06003702034 1 153
06070020.00: G0601070002004 1 529
53330108.00: G53003300108 1 200
54190202.00: G54001900202 1 464
41510057.00: G41005100057 0 842
55259506.00: G55012509506 0 842
55379901.00: G55003709901 0 842
54559509.00: G54005509509 0 842
08590117.00: G0800590011701 1 153
53330220.00: G5300330022003 1 240
54690007.00: G54006900007 1 424
24054909.00: G24000504909 1 424
24054907.00: G2400050490702 1 424
54690008.00: G54006900008 1 424
54690001.00: G54006900001 1 424
51594204.00: G51005904204 1 272
54239695.00: G54002309695 0 842
01970003.00: G01009700003 0 842
40091079.00: G40010901079 1 473
53330258.00: G5300330025802 1 240
48010556.02: G4802010055622 1 633
06371065.00: G06003701065 1 464
54570104.00: G54005700104 0 842
51402115.00: G51074002115 0 842
53330284.00: G5300330028402 1 200
31550074.02: G3100550007425 1 372
24338048.00: G24003308048 1 0
24054908.00: G24000504908 1 424
01150002.00: G01001500002 1 424
21110128.00: G2101110012801 1 372
53630016.00: G53006300016 1 153
39351722.00: G3900350172202 1 240
01890019.00: G0100890001902 1 99
54559517.00: G54005509517 0 842
20450001.00: G20004500001 1 153
01970019.00: G0100970001902 1 581
54059588.00: G54000509588 0 842
26635049.00: G26016305049 1 272
54570105.00: G54005700105 0 842
53050114.00: G5300050011402 1 240
05690004.08: G0500690000486 0 842
48159502.00: G48041509502 0 842
54390122.00: G54003900122 1 529
26635145.00: G26016305145 0 842
54219677.00: G54002109677 0 842
54219678.00: G54002109678 0 842
54570107.00: G54005700107 0 842
54599572.00: G54005909572 0 842
27230411.00: G2701230041105 1 99
54330317.00: G54003300317 0 842
54390118.00: G54003900118 1 529
54839662.00: G54008309662 1 529
06130107.00: G0601130010701 1 99
06530143.00: G0600530014301 1 325
06133790.00: G06001303790 1 424
13210042.09: G1301210004295 1 633
01550004.00: G01005500004 1 281
06110059.00: G0601110005905 1 2
54570103.00: G54005700103 0 842
13210046.09: G1301210004695 0 842
54079680.00: G54000709680 0 842
13210044.00: G13012100044 0 842
13210068.00: G1301210006802 1 529
28079504.00: G28010709504 0 842
51308101.00: G51073008101 1 464
22330010.00: G22003300010 1 289
54479540.00: G54004709540 0 842
53330268.00: G53003300268 1 200
26210110.00: G26002100110 1 424
51402114.00: G51074002114 0 842
26158301.00: G26011508301 1 153
54190210.00: G54001900210 0 842
24338050.00: G24003308050 1 0
26635387.00: G26016305387 1 301
39490063.02: G3900490006323 1 372
54439558.00: G54004309558 0 842
54439557.00: G54004309557 0 842
22330022.00: G22003300022 1 289
37230205.00: G37002300205 1 464
54639501.00: G54006309501 0 842
34130019.00: G34001300019 1 289
54490218.00: G54004900218 0 842
53330024.00: G53003300024 1 99
54319703.00: G54003109703 0 842
54479543.00: G54004709543 0 842
22330033.00: G22003300033 1 464
54059583.00: G54000509583 0 842
08310120.01: G0800310012010 1 424
13210085.00: G13012100085 1 372
06610206.00: G0600610020603 1 240
54390132.00: G54003900132 1 341
54390107.00: G5400390010702 1 153
54459561.00: G54004509561 0 842
48010273.00: G48020100273 1 581
54110017.00: G54001100017 0 842
34057038.00: G3400050703802 1 240
34130183.00: G34001300183 1 153
39099727.00: G39000909727 0 842
37190025.00: G37011900025 1 200
17310633.00: G17003100633 1 153
54459567.00: G54004509567 0 842
54110016.00: G54001100016 1 325
36670118.00: G36006700118 1 424
54279683.00: G54002709683 0 842
53330028.00: G53003300028 1 325
20730088.00: G20017300088 1 99
54379722.00: G54003709722 0 842
54330315.00: G54003300315 0 842
12030242.00: G12010300242 1 153
54259504.00: G54002509504 0 842
54639502.00: G54006309502 0 842
20730094.00: G2001730009401 1 99
53330271.00: G53003300271 1 200
06133340.00: G0600130334003 1 372
39730203.00: G39017300203 1 473
54810113.00: G54008100113 1 529
20730094.00: G2001730009402 1 99
17978828.00: G17019708828 1 529
54479538.00: G54004709538 0 842
36290141.00: G3600290014101 1 424
08079546.00: G08010709546 0 842
08310001.00: G0800310000101 1 7
54059582.00: G54000509582 0 842
17310405.00: G17003100405 1 153
17311405.00: G17003101405 1 153
17310410.00: G17003100410 1 153
17311504.00: G17003101504 1 153
06590639.00: G0600590063907 1 99
20910508.00: G20009100508 1 153
54679803.00: G54006709803 1 200
17312510.00: G17003102510 1 240
17310810.00: G17003100810 1 153
54690005.00: G54006900005 1 424
54039711.00: G54000309711 0 842
54110107.00: G54001100107 1 272
54510209.00: G54005100209 0 842
54479541.00: G54004709541 0 842
54290209.00: G54002900209 0 842
54599576.00: G54005909576 0 842
54459560.00: G54004509560 0 842
54290208.00: G54002900208 1 372
54419672.00: G54004109672 0 842
47570013.00: G47015700013 1 240
37479901.00: G37004709901 0 842
54559523.00: G54005509523 0 842
54979670.00: G54009709670 0 842
54559524.00: G54005509524 0 842
54690020.00: G54006900020 0 842
06014072.00: G06000104072 1 424
24338052.00: G2400330805201 1 0
48390616.00: G48013900616 0 842
12730020.00: G1200730002002 1 247
25138002.00: G2500130800201 1 153
26476480.00: G26014706480 0 842
24101503.00: G24051001503 1 424
24338056.00: G24003308056 1 99
25010125.00: G25000100125 1 424
21099510.00: G21000909510 0 842
24102501.00: G2405100250103 1 424
54259507.00: G54002509507 0 842
17978835.00: G1701970883502 1 633
54810115.00: G54008100115 1 473
13210090.00: G13012100090 1 165
54330314.00: G54003300314 0 842
17318030.00: G1700310803006 1 272
19679803.00: G19006709803 0 842
54479542.00: G54004709542 0 842
54279684.00: G54002709684 0 842
22510230.00: G2200510023003 1 240
46599757.00: G46005909757 0 842
06374037.00: G0600370403701 1 372
54390121.00: G54003900121 1 529
54679806.00: G54006709806 0 842
54359632.00: G54003509632 0 842
54539551.00: G54005309551 0 842
54610113.00: G54006100113 0 842
54239696.00: G54002309696 0 842
49351133.00: G4900350113304 1 200
54019701.00: G54010109701 0 842
54759603.00: G54007509603 0 842
54279685.00: G54002709685 0 842
54070108.00: G54010700108 0 842
54439556.00: G54004309556 0 842
54419676.00: G54004109676 0 842
22710014.00: G2200710001402 1 301
45790026.00: G45007900026 1 240
54070002.00: G54010700002 1 372
12110804.00: G1200110080402 1 581
22710022.00: G22007100022 1 301
34076064.00: G34000706064 1 2
22710036.00: G22007100036 1 289
22710021.00: G22007100021 1 301
22710035.00: G22007100035 1 289
53210202.00: G53002100202 1 240
17318247.00: G1700310824701 0 842
54790201.00: G54007900201 1 200
22710065.00: G22007100065 1 289
24178509.00: G2400170850902 1 272
54319701.00: G54003109701 0 842
26635468.00: G26016305468 1 99
34030111.00: G34000300111 0 842
42792012.00: G42007902012 1 529
26635464.00: G26016305464 1 99
53330051.00: G53003300051 1 200
54359637.00: G54003509637 1 529
20910509.00: G20009100509 1 153
54030305.00: G54010300305 0 842
26635426.00: G26016305426 1 99
26635341.00: G26016305341 1 247
54379726.00: G54003709726 0 842
54839660.00: G54008309660 1 529
54739621.00: G54007309621 0 842
36610013.00: G36006100013 1 153
54979671.00: G54009709671 1 240
26635587.00: G26016305587 1 99
54839663.00: G54008309663 0 842
54990209.00: G54009900209 0 842
53330035.00: G53003300035 1 325
54990204.00: G54009900204 1 301
51105007.09: G5106100500797 1 153
54659709.00: G54006509709 0 842
53330050.00: G53003300050 1 200
51619909.09: G5100610990998 0 842
51402111.00: G51074002111 1 325
53330053.00: G5300330005301 1 200
36610009.00: G36006100009 1 153
04131167.00: G0400130116703 0 842
54479539.00: G54004709539 0 842
55279618.00: G55002709618 0 842
54779641.00: G54007709641 0 842
54779644.00: G54007709644 0 842
24479910.00: G24004709910 1 529
36610015.00: G3600610001502 1 153
36610007.00: G36006100007 1 153
27179604.00: G27011709604 0 842
13630405.00: G1300630040507 1 240
42792130.00: G42007902130 1 529
54070109.00: G5401070010901 1 529
54439555.00: G54004309555 0 842
27230411.00: G2701230041103 1 325
54779643.00: G54007709643 0 842
54659707.00: G54006509707 1 247
54599577.00: G54005909577 0 842
21270104.00: G21022700104 1 247
54779645.00: G54007709645 0 842
55579902.00: G55005709902 0 842
31199695.00: G31001909695 0 842
12330027.00: G12003300027 1 289
26635002.00: G26016305002 1 272
25235071.00: G2500230507102 0 842
12239504.00: G12012309504 1 581
53050104.00: G53000500104 1 301
06014357.00: G06000104357 1 372
39351512.00: G39003501512 1 325
54939653.00: G54009309653 0 842
06371374.00: G0600370137401 0 842
29950132.00: G2900950013202 1 153
39034163.00: G39010304163 1 529
12270812.00: G12012700812 1 281
06014359.00: G06000104359 1 372
55459807.00: G55004509807 1 301
06670082.00: G0600670008202 1 153
19570007.00: G19005700007 1 341
39998004.00: G39009908004 1 633
22710109.00: G22007100109 1 325
29892201.00: G29018902201 1 372
53330295.00: G5300330029502 1 240
22710081.00: G2200710008101 1 272
53330004.00: G53003300004 1 240
06871220.00: G06008701220 1 153
39998015.00: G39009908015 1 633
31019661.00: G31000109661 1 464
36650253.00: G36006500253 1 464
54279682.00: G54002709682 0 842
06816114.00: G06008106114 1 99
01970034.00: G0100970003402 1 581
39572501.00: G39005702501 1 464
48830003.00: G48018300003 1 325
51539004.00: G5101530900403 1 240
06770054.00: G0600770005402 1 99
01010205.00: G01000100205 1 581
06014024.00: G06000104024 1 372
48130074.00: G48011300074 1 153
12270803.00: G12012700803 1 529
06770031.01: G0600770003111 1 99
34312461.00: G3400310246101 1 240
54610119.00: G54006100119 0 842
12030267.00: G1201030026703 1 240
54510208.00: G54005100208 0 842
21110050.00: G21011100050 1 99
53330254.00: G53003300254 1 240
21110034.00: G21011100034 1 99
21110052.00: G21011100052 1 372
20090412.00: G2002090041201 1 281
54610114.00: G54006100114 0 842
06014029.00: G06000104029 1 372
37190007.00: G37011900007 1 200
12010004.00: G12000100004 1 633
36430102.00: G3600430010201 1 464
06014028.00: G06000104028 1 372
36470356.00: G36004700356 1 341
53330235.00: G53003300235 1 153
54810109.00: G54008100109 0 842
54439554.00: G54004309554 1 341
01730107.00: G0100730010702 1 341
54659710.00: G54006509710 1 247
54679801.00: G54006709801 0 842
04131124.00: G04001301124 1 99
54810111.00: G54008100111 1 529
54390111.00: G54003900111 0 842
06374632.00: G06003704632 0 842
22730054.00: G22007300054 1 464
53330113.00: G53003300113 1 372
34155012.00: G3400150501208 1 372
06374300.00: G0600370430002 1 281
26635345.00: G26016305345 1 247
29892170.00: G29018902170 1 425
26635465.00: G26016305465 1 99
55139801.00: G55011309801 0 842
26635552.00: G26016305552 1 99
25214173.00: G25002104173 1 301
53019504.00: G53000109504 0 842
34130052.00: G34001300052 1 8
37630004.00: G3700630000402 1 272
51990509.09: G5101990050998 1 200
25214176.00: G25002104176 1 99
53330328.00: G53003300328 1 272
53330103.00: G53003300103 1 2
53630109.00: G53006300109 1 247
54599573.00: G54005909573 0 842
34330222.00: G3400330022201 1 633
36670002.00: G36006700002 1 372
12570001.00: G12005700001 1 153
12570027.00: G12005700027 1 200
06710020.00: G0600710002006 1 424
54790205.00: G54007900205 1 153
54679802.00: G54006709802 0 842
54739622.00: G54007309622 0 842
22330050.00: G22003300050 1 289
12990077.01: G1200990007710 1 325
17318030.01: G1700310803010 0 842
25251206.00: G25002501206 1 2
42710129.00: G42007100129 1 272
36190128.00: G36011900128 0 842
12090609.00: G12000900609 1 200
54759602.00: G54007509602 0 842
54810112.00: G54008100112 1 633
54859625.00: G54008509625 0 842
54070107.00: G5401070010701 0 842
21110124.00: G2101110012404 1 633
53630006.00: G53006300006 1 247
53330307.00: G53003300307 1 2
54390108.00: G5400390010802 1 200
21110124.00: G2101110012405 1 633
54679804.00: G54006709804 0 842
13510018.00: G13005100018 0 842
55479805.00: G55004709805 0 842
21110043.00: G2101110004302 1 633
09135301.00: G09001305301 1 633
54639503.00: G54006309503 0 842
34258084.00: G3400250808402 1 325
34030112.00: G34000300112 0 842
13510024.00: G13005100024 0 842
06750604.00: G06007500604 1 99
36595171.00: G3600590517102 1 240
09091903.00: G0900090190301 1 581
54050301.00: G54010500301 0 842
36390808.00: G36003900808 0 842
26479705.00: G26004709705 0 842
24102717.00: G24051002717 1 529
26172860.00: G26001702860 1 281
53330098.00: G53003300098 1 200
54479537.00: G54004709537 0 842
54459564.00: G54004509564 0 842
54779642.00: G54007709642 0 842
53330109.00: G53003300109 1 372
54390002.00: G54003900002 1 165
36050399.00: G3600050039902 1 464
24102711.00: G2405100271101 1 424
54390112.00: G54003900112 0 842
36470350.00: G36004700350 1 341
54559516.00: G54005509516 0 842
42070006.00: G42010700006 0 842
55790124.00: G55007900124 1 272
51303704.09: G5108300370498 1 200
36050296.00: G36000500296 1 464
48671240.00: G48016701240 1 153
36050265.00: G36000500265 0 842
36290001.00: G36002900001 1 272
36050261.00: G36000500261 1 99
54570102.00: G54005700102 0 842
54719706.00: G54007109706 0 842
54610115.00: G54006100115 1 464
53630007.00: G53006300007 1 247
42792164.00: G42007902164 0 842
26450201.00: G2600450020102 1 153
24101004.00: G24051001004 1 424
51500210.00: G5105500021004 1 424
17316004.00: G17003106004 1 165
39351113.00: G39003501113 1 529
24317026.00: G2400310702602 1 153
34170150.00: G34001700150 1 240
24100909.00: G24051000909 1 424
24102001.00: G24051002001 1 424
24100603.00: G24051000603 1 424
24100602.00: G24051000602 1 424
06750402.00: G06007500402 1 99
06750159.00: G06007500159 1 2
24317057.00: G2400310705702 1 529
11010020.00: G1100010002002 1 424
24317056.00: G2400310705602 1 99
24100904.00: G24051000904 1 424
25251205.00: G25002501205 1 2
06014338.00: G06000104338 1 372
24102602.00: G2405100260201 1 372
17316810.00: G17003106810 1 372
24102602.00: G2405100260202 1 372
24100301.00: G24051000301 1 424
54319702.00: G54003109702 0 842
12310158.00: G1200310015801 1 7
12990081.00: G1200990008102 1 325
54459565.00: G54004509565 0 842
11010061.00: G11000100061 1 272
09010213.00: G09000100213 1 99
54510212.00: G54005100212 0 842
24100906.00: G24051000906 1 424
36670061.00: G3600670006103 1 153
53150005.00: G5300150000501 1 581
11010060.00: G1100010006001 1 272
24100704.00: G24051000704 1 240
53330294.00: G5300330029402 1 301
25250703.00: G25002500703 1 153
26635003.00: G26016305003 1 272
54539548.00: G54005309548 0 842
51594328.00: G51005904328 1 200
49351032.00: G49003501032 1 325
39351033.00: G39003501033 1 153
54099532.00: G54010909532 0 842
54719704.00: G54007109704 0 842
55439604.00: G55004309604 0 842
25250816.00: G25002500816 1 2
51910106.00: G51019100106 0 842
48130087.00: G4801130008705 1 153
34130118.00: G34001300118 1 289
25250609.00: G25002500609 0 842
39130101.00: G39001300101 0 842
25251704.00: G25002501704 1 99
25250802.00: G25002500802 1 2
25250102.00: G25002500102 1 2
25214042.00: G2500210404201 1 99
20910518.00: G2000910051803 1 165
53330091.00: G53003300091 1 4
26635034.00: G26016305034 1 272
53110408.00: G5300110040801 1 581
53110409.00: G5300110040904 1 581
53330233.00: G53003300233 1 2
53330090.00: G53003300090 1 240
54959620.00: G54009509620 0 842
34330220.00: G34003300220 1 633
36190053.00: G36011900053 1 153
34030572.00: G34000300572 1 99
55419501.00: G55004109501 0 842
20610004.00: G20006100004 1 153
34155009.00: G34001505009 1 737
26635393.00: G26016305393 1 301
48291914.00: G4800290191404 1 424
26992513.00: G26009902513 1 473
36750214.00: G3600750021402 1 281
51000654.00: G51080000654 1 240
